id;tutar;notlar;odeme_araci;hareket_tipi;tarih;tenant_id
1;16095;alarm strategic;NAKIT;URUN_GIRISI;2020-01-06T19:10:27;1
2;74362;feed;NAKIT;ODEME;2020-01-07T11:14:16;1
3;7467;Salad application;NAKIT;ODEME;2020-01-07T01:16:05;1
4;88502;Interactions;NAKIT;URUN_GIRISI;2020-01-07T00:29:17;1
5;56646;navigate function SQL;BANKA;ODEME;2020-01-07T11:48:33;1
6;58812;bypass;NAKIT;URUN_GIRISI;2020-01-07T13:50:20;1
7;42406;Configuration Avon Accounts;NAKIT;URUN_GIRISI;2020-01-06T21:10:00;2
8;34451;Overpass;BANKA;ODEME;2020-01-06T19:58:53;2
9;98926;web-enabled Intelligent;BANKA;ODEME;2020-01-07T00:28:59;1
10;71491;Intranet digital;NAKIT;URUN_GIRISI;2020-01-07T01:25:00;1
