id;adi;adres;banka_bilgileri;tarih;tenant_id
1;Iowa Fantastic Borders;auxiliary Toys;Direct;2020-01-02T23:42:45;kadikoy
2;Oregon;USB Intelligent Fresh Gloves toolset;Officer Kids Executive;2020-01-02T19:18:21;kadikoy
3;Concrete;Health Solutions;deposit;2020-01-03T02:49:46;kadikoy
4;demand-driven;Investment Account Money Market Account;invoice;2020-01-03T01:31:24;kadikoy
5;Gorgeous;Shores;Compatible e-tailers;2020-01-02T23:53:05;kadikoy
6;synthesizing navigating;invoice Chicken;redundant utilisation Gorgeous;2020-01-03T08:07:52;besiktas
7;Cheese markets;Planner Unbranded Frozen Hat;USB;2020-01-02T23:10:47;besiktas
8;programming Legacy throughput;generating Checking Account;high-level Books;2020-01-03T00:32:14;kadikoy
9;Money Market Account New Mexico orchestrate;lavender Rustic Colorado;synthesize Corporate;2020-01-03T01:34:04;kadikoy
10;Manager SMS Agent;orange metrics;generate maroon;2020-01-03T02:54:10;kadikoy
